movie_title,release_date,wikipedia_url,genre,director_1,director_2,cast_1,cast_2,cast_3,cast_4,cast_5,budget,revenue
10 Cloverfield Lane,2016-03-08,https://en.wikipedia.org/wiki/10_Cloverfield_Lane,Thriller,Dan Trachtenberg,N/A,Mary Elizabeth Winstead,John Goodman,John Gallagher,N/A,N/A,15000000.0,108300000.0
13 Hours: The Secret Soldiers of Benghazi,2016-01-15,https://en.wikipedia.org/wiki/13_Hours:_The_Secret_Soldiers_of_Benghazi,Action,Michael Bay,N/A,James Badge Dale,John Krasinski,Toby Stephens,Pablo Schreiber,Max Martini,45000000.0,69400000.0
2 Guns,2013-08-02,https://en.wikipedia.org/wiki/2_Guns,Action,Baltasar Kormákur,N/A,Mark Wahlberg,Denzel Washington,Paula Patton,Bill Paxton,Edward James Olmos,61000000.0,131900000.0
21 Jump Street,2012-03-16,https://en.wikipedia.org/wiki/21_Jump_Street_(film),Comedy,Phil Lord,Chris Miller,Jonah Hill,Channing Tatum,Ice Cube,Brie Larson,Rob Riggle,55000000.0,201500000.0
22 Jump Street,2014-06-04,https://en.wikipedia.org/wiki/22_Jump_Street,Action,Phil Lord,Chris Miller,Channing Tatum,Jonah Hill,Ice Cube,N/A,N/A,84500000.0,331300000.0
300: Rise of an Empire,2014-03-04,https://en.wikipedia.org/wiki/300:_Rise_of_an_Empire,Action,Noam Murro,N/A,Rodrigo Santoro,Eva Green,Sullivan Stapleton,Hans Matheson,Lena Headey,110000000.0,337600000.0
42,2013-04-12,https://en.wikipedia.org/wiki/42_(film),Biography,Brian Helgeland,N/A,Harrison Ford,Chadwick Boseman,Christopher Meloni,Ryan Merriman,Andre Holland,40000000.0,97500000.0
71,2014-02-07,https://en.wikipedia.org/wiki/%252771_(film),Action,Yann Demange,N/A,Jack O'Connell,Richard Dormer,Sean Harris,Sam Reid,N/A,8100000.0,2900000.0
90 Minutes in Heaven,2015-09-11,https://en.wikipedia.org/wiki/90_Minutes_in_Heaven_(film),Drama,Michael Polish,N/A,Hayden Christensen,Kate Bosworth,Dwight Yoakam,Michael W. Smith,N/A,5000000.0,4800000.0
A Good Day to Die Hard,2013-02-14,https://en.wikipedia.org/wiki/A_Good_Day_to_Die_Hard,Action,John Moore,N/A,Bruce Willis,Jai Courtney,Sebastian Koch,Yuliya Snigir,Radivoje Bukvić,92000000.0,304700000.0
A Haunted House,2013-01-11,https://en.wikipedia.org/wiki/A_Haunted_House_(film),Comedy,Michael Tiddes,N/A,Marlon Wayans,Nick Swardson,David Koechner,Essence Atkins,Cedric the Entertainer,2500000.0,60100000.0
A Haunted House 2,2014-04-18,https://en.wikipedia.org/wiki/A_Haunted_House_2,Comedy,Michael Tiddes,N/A,Marlon Wayans,Jaime Pressly,Essence Atkins,Cedric the Entertainer,Gabriel Iglesias,4000000.0,24000000.0
A Long Way Down,2014-02-10,https://en.wikipedia.org/wiki/A_Long_Way_Down_(film),Comedy,Pascal Chaumeil,N/A,Toni Collette,Pierce Brosnan,Aaron Paul,Imogen Poots,N/A,22700000.0,7100000.0
A Most Violent Year,2014-11-06,https://en.wikipedia.org/wiki/A_Most_Violent_Year,Action,J. C. Chandor,N/A,Oscar Isaac,Jessica Chastain,Alessandro Nivola,David Oyelowo,Albert Brooks,20000000.0,12000000.0
A Most Wanted Man,2014-01-19,https://en.wikipedia.org/wiki/A_Most_Wanted_Man_(film),Thriller,Anton Corbijn,N/A,Philip Seymour Hoffman,Rachel McAdams,Robin Wright,Willem Dafoe,Grigoriy Dobrygin,15000000.0,36200000.0
